qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A2AU72|ARMC3_MOUSE	lcl|NW_026262745.1_cds_XP_052077256.1_47514	42.002	919	444	8	15	881	160	2805	0.0	598
sp|A2CEI6|PIWL2_DANRE	lcl|NW_026262723.1_cds_XP_052069906.1_42630	44.470	859	435	11	225	1046	238	2799	0.0	783
sp|A2CG63|ARI4B_MOUSE	lcl|NW_026262690.1_cds_XP_052106549.1_31142	45.137	401	193	7	5	398	10	1152	7.06e-91	325
sp|A2RUB1|MEIOC_HUMAN	lcl|NW_026262668.1_cds_XP_052091382.1_18115	58.378	185	71	3	723	907	1651	2187	4.31e-58	214
sp|A3KGV1|ODFP2_MOUSE	lcl|NW_026262668.1_cds_XP_052092016.1_19330	41.082	813	438	7	21	823	127	2472	2.50e-180	540
sp|A3KPW9|BAG6_DANRE	lcl|NW_026262668.1_cds_XP_052094086.1_17365	30.407	467	290	10	711	1156	2707	4065	2.32e-51	199
sp|A3KQH2|DRC9_DANRE	lcl|NW_026262690.1_cds_XP_052104667.1_28001	35.376	359	187	6	7	324	46	1110	1.69e-60	200
sp|A4D1T9|PRS37_HUMAN	lcl|NW_026262723.1_cds_XP_052069279.1_42788	26.214	206	135	4	40	230	298	909	1.44e-15	75.5
sp|A4IH17|BAG6_XENTR	lcl|NW_026262668.1_cds_XP_052094086.1_17365	28.694	467	287	9	694	1128	2716	4074	1.32e-42	171
sp|A4PES0|WEE2_PIG	lcl|NW_026262626.1_cds_XP_052086961.1_12313	48.333	420	184	11	129	519	376	1623	2.31e-118	363
sp|A5D8V7|ODAD3_HUMAN	lcl|NW_026262668.1_cds_XP_052092788.1_15892	37.782	487	297	4	67	549	37	1491	4.21e-53	191
sp|A5D8W1|CFA69_HUMAN	lcl|NW_026262668.1_cds_XP_052095531.1_19960	45.126	913	485	8	26	930	82	2796	0.0	824
sp|A5D9M6|BAG6_PIG	lcl|NW_026262668.1_cds_XP_052094086.1_17365	29.899	398	249	7	755	1124	2878	4065	4.70e-32	137
sp|A6N7Y9|PIWL1_CHICK	lcl|NW_026262734.1_cds_XP_052074955.1_44871	54.771	765	334	8	112	867	343	2628	0.0	886
sp|A6NDE4|RBY1B_HUMAN	lcl|NW_026262690.1_cds_XP_052104166.1_27509	50.588	85	41	1	3	86	19	273	5.22e-21	97.1
sp|A6PVC2|TTLL8_HUMAN	lcl|NW_026262581.1_cds_XP_052081767.1_1186	49.858	351	170	3	261	607	1828	2874	2.09e-112	374
sp|A6QQL3|SEP14_BOVIN	lcl|NW_026262745.1_cds_XP_052078363.1_47556	61.798	356	132	1	24	379	196	1251	1.09e-148	431
sp|A7DTF0|MRG1_CAEEL	lcl|NW_026262679.1_cds_XP_052098088.1_22377	27.885	208	113	6	121	327	763	1278	2.24e-18	86.7
sp|A7X5R6|BAG6_ORNAN	lcl|NW_026262668.1_cds_XP_052094086.1_17365	36.232	207	81	4	24	192	4	585	2.59e-22	105
sp|A7X8B7|PRGR_GORGO	lcl|NW_026262690.1_cds_XP_052106672.1_31267	29.221	308	202	5	564	871	136	1011	2.70e-39	152
sp|A8D8P8|SIWI_BOMMO	lcl|NW_026262734.1_cds_XP_052074955.1_44871	43.467	773	426	9	135	899	319	2628	0.0	660
sp|A8KBF3|PIWL2_XENTR	lcl|NW_026262723.1_cds_XP_052069906.1_42630	46.163	821	428	7	139	949	349	2799	0.0	786
sp|A8MPH9|FOSLD_DROME	lcl|NW_026262690.1_cds_XP_052058739.1_30895	42.857	77	44	0	380	456	451	681	2.13e-13	71.6
sp|A8WVU9|ROCK_CAEBR	lcl|NW_026262581.1_cds_XP_052102089.1_4959	61.082	388	150	1	9	396	52	1212	4.39e-172	546
sp|A9Q751|PCDP1_MOUSE	lcl|NW_026262668.1_cds_XP_052094971.1_18936	37.383	856	464	18	3	805	28	2538	3.15e-166	506
sp|A9ZSZ2|AGO3_BOMMO	lcl|NW_026262723.1_cds_XP_052069906.1_42630	47.662	770	397	5	160	926	499	2799	0.0	759
sp|B0BLW3|LGR4_XENTR	lcl|NW_026262712.1_cds_XP_052065333.1_37690	34.889	857	496	6	43	837	139	2709	5.97e-142	457
sp|B0BN28|SKA1_RAT	lcl|NW_026262679.1_cds_XP_052101967.1_25638	50.427	117	58	0	136	252	445	795	7.76e-38	134
sp|B0LSW3|LIS1_FELCA	lcl|NW_026262734.1_cds_XP_052075618.1_46076	74.396	414	100	3	1	410	1	1236	0.0	660
sp|B1A8Z2|CIB1_SHEEP	lcl|NW_026262667.1_cds_XP_052090536.1_15402	50.777	193	86	4	1	191	1	558	5.33e-42	140
sp|B1ASB6|SPOC1_MOUSE	lcl|NW_026262615.1_cds_XP_052085448.1_10923	29.204	452	261	14	386	784	4633	5970	3.29e-39	160
sp|B1Q3J6|DNM1B_ORYSJ	lcl|NW_026262668.1_cds_XP_052091144.1_17972	33.946	925	489	20	697	1527	1906	4596	9.66e-160	526
sp|B2GV50|RFX2_RAT	lcl|NW_026262581.1_cds_XP_052075306.1_4396	59.897	581	212	10	71	647	1048	2739	0.0	632
sp|B2RR83|YTDC2_MOUSE	lcl|NW_026262679.1_cds_XP_052099276.1_22483	57.859	1177	447	13	52	1211	121	3555	0.0	1303
sp|B2RW38|CFA58_MOUSE	lcl|NW_026262679.1_cds_XP_052102029.1_25702	59.382	874	350	3	1	870	1	2619	0.0	837
sp|B2RX14|TUT4_MOUSE	lcl|NW_026262581.1_cds_XP_052061606.1_1299	54.042	433	188	7	901	1326	2608	3894	2.61e-134	455
sp|B2RXZ1|PNDC1_MOUSE	lcl|NW_026262734.1_cds_XP_052073736.1_45028	34.638	511	315	8	8	504	25	1542	4.07e-95	300
sp|B2RYF7|WASH1_RAT	lcl|NW_026262581.1_cds_XP_052085305.1_2215	51.154	260	120	5	10	264	10	783	1.32e-69	230
sp|B3M185|RAS1_DROAN	lcl|NW_026262712.1_cds_XP_052067057.1_38988	87.117	163	21	0	1	163	1	489	2.35e-93	270
sp|B3M383|SPNE_DROAN	lcl|NW_026262690.1_cds_XP_052105936.1_30193	34.559	1360	789	35	98	1404	379	4314	0.0	722
sp|B3MEY6|LIS1_DROAN	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.146	412	120	1	3	411	1	1236	0.0	595
sp|B3NPW0|LIS1_DROER	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.631	412	118	1	3	411	1	1236	0.0	600
sp|B3NZR4|RAS1_DROER	lcl|NW_026262712.1_cds_XP_052067057.1_38988	87.117	163	21	0	1	163	1	489	2.35e-93	270
sp|B3P3W1|SPNE_DROER	lcl|NW_026262690.1_cds_XP_052105936.1_30193	33.406	1374	818	32	101	1423	379	4362	0.0	687
sp|B3P7F8|HH_DROER	lcl|NW_026262668.1_cds_XP_052094078.1_17350	48.229	367	179	5	96	461	133	1203	4.03e-104	317
sp|B4GAJ1|LIS1_DROPE	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.631	412	118	1	3	411	1	1236	0.0	594
sp|B4GEU5|SPNE_DROPE	lcl|NW_026262690.1_cds_XP_052105936.1_30193	34.352	1243	730	31	94	1294	358	3954	0.0	678
sp|B4GFJ8|RAS1_DROPE	lcl|NW_026262712.1_cds_XP_052067057.1_38988	87.730	163	20	0	1	163	1	489	3.06e-93	270
sp|B4HFB7|HH_DROSE	lcl|NW_026262668.1_cds_XP_052094078.1_17350	48.501	367	178	5	96	461	133	1203	9.06e-105	318
sp|B4HKC7|RAS1_DROSE	lcl|NW_026262712.1_cds_XP_052067057.1_38988	87.117	163	21	0	1	163	1	489	2.35e-93	270
sp|B4HLH4|SPNE_DROSE	lcl|NW_026262690.1_cds_XP_052105936.1_30193	33.816	1381	804	36	102	1425	379	4362	0.0	684
sp|B4HSL3|LIS1_DROSE	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.631	412	118	1	3	411	1	1236	0.0	601
sp|B4JWA1|LIS1_DROGR	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.874	412	117	1	3	411	1	1236	0.0	598
sp|B4K5R2|SPNE_DROMO	lcl|NW_026262690.1_cds_XP_052105936.1_30193	33.694	1386	812	33	104	1431	379	4389	0.0	694
sp|B4KT48|LIS1_DROMO	lcl|NW_026262734.1_cds_XP_052075618.1_46076	71.602	412	114	1	3	411	1	1236	0.0	624
sp|B4LQ21|LIS1_DROVI	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.631	412	118	1	3	411	1	1236	0.0	596
sp|B4LX81|SPNE_DROVI	lcl|NW_026262690.1_cds_XP_052105936.1_30193	34.485	1273	759	29	104	1339	379	4083	0.0	700
sp|B4LY29|RAS1_DROVI	lcl|NW_026262712.1_cds_XP_052067057.1_38988	87.117	163	21	0	1	163	1	489	4.64e-93	270
sp|B4NBB0|SPNE_DROWI	lcl|NW_026262690.1_cds_XP_052105936.1_30193	32.620	1401	846	37	58	1407	253	4314	0.0	673
sp|B4P6P9|LIS1_DROYA	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.631	412	118	1	3	411	1	1236	0.0	600
sp|B4PN49|HH_DROYA	lcl|NW_026262668.1_cds_XP_052094078.1_17350	48.501	367	178	5	96	461	133	1203	2.40e-109	330
sp|B4PRJ9|SPNE_DROYA	lcl|NW_026262690.1_cds_XP_052105936.1_30193	33.622	1386	803	35	101	1427	379	4362	0.0	689
sp|B4PUP5|RAS1_DROYA	lcl|NW_026262712.1_cds_XP_052067057.1_38988	87.117	163	21	0	1	163	1	489	2.35e-93	270
sp|B4QHG6|LIS1_DROSI	lcl|NW_026262734.1_cds_XP_052075618.1_46076	70.631	412	118	1	3	411	1	1236	0.0	601
sp|B4R1D8|HH_DROSI	lcl|NW_026262668.1_cds_XP_052094078.1_17350	52.124	259	123	1	100	357	133	909	1.73e-83	261
sp|B5DE31|YBOX1_DANRE	lcl|NW_026262593.1_cds_XP_052082214.1_8203	87.356	87	11	0	31	117	43	303	1.31e-46	159
sp|B7ZR30|STK10_XENLA	lcl|NW_026262679.1_cds_XP_052102551.1_26196	57.188	320	133	2	1	316	1	960	2.45e-126	414
sp|B8A4F4|TDRD9_DANRE	lcl|NW_026262690.1_cds_XP_052105936.1_30193	40.047	1286	705	23	89	1340	418	4179	0.0	889
sp|B9EKI3|TMF1_MOUSE	lcl|NW_026262723.1_cds_XP_052069075.1_42949	45.073	619	321	4	480	1086	2140	3975	6.10e-113	382
sp|C1L7Y4|ANX13_SCHJA	lcl|NW_026262697.1_cds_XP_052059328.1_32025	40.785	331	174	2	19	349	757	1683	2.62e-74	241
sp|C4QH88|ANX22_SCHMA	lcl|NW_026262723.1_cds_XP_052070439.1_40819	40.597	335	191	2	25	359	871	1851	4.83e-74	242
sp|D0PV95|DDX3_CAEEL	lcl|NW_026262690.1_cds_XP_052104844.1_28288	58.858	508	188	9	135	623	760	2277	0.0	573
sp|D2HHP1|WEE2_AILME	lcl|NW_026262626.1_cds_XP_052086961.1_12313	44.835	484	216	14	95	559	364	1719	4.19e-110	341
sp|D2HXI8|GWL_AILME	lcl|NW_026262712.1_cds_XP_052067270.1_38401	63.285	207	61	3	29	220	7	627	1.40e-74	263
sp|D3YUJ3|CCYL1_MOUSE	lcl|NW_026262582.1_cds_XP_052080569.1_7060	61.039	308	106	4	69	366	163	1074	4.94e-128	372
sp|D3YVL2|CFA70_MOUSE	lcl|NW_026262675.1_cds_XP_052097650.1_21844	43.063	1182	588	18	11	1141	43	3486	0.0	882
sp|D3Z3K2|CIP1_MOUSE	lcl|NW_026262668.1_cds_XP_052093179.1_16367	44.878	205	112	1	8	212	13	624	8.55e-63	199
sp|D3Z4R1|HFM1_MOUSE	lcl|NW_026262690.1_cds_XP_052103499.1_29218	53.158	950	411	14	291	1216	589	3408	0.0	998
sp|D3ZD32|CHD5_RAT	lcl|NW_026262680.1_cds_XP_052102884.1_26538	65.724	1202	345	13	332	1527	973	4395	0.0	1469
sp|D3ZKD3|ALKB5_RAT	lcl|NW_026262723.1_cds_XP_052069785.1_42396	64.659	249	79	2	54	293	52	798	3.96e-115	340
sp|D3ZQF4|FKBP6_RAT	lcl|NW_026262734.1_cds_XP_052072807.1_44477	33.876	307	199	3	20	322	208	1128	4.22e-49	171
sp|D3ZVK1|MCM8_RAT	lcl|NW_026262712.1_cds_XP_052064277.1_39052	62.269	811	290	5	20	829	115	2502	0.0	991
sp|D4A2Z8|DHX36_RAT	lcl|NW_026262593.1_cds_XP_052083028.1_9042	50.260	961	426	13	52	986	328	3132	0.0	833
sp|D4A7T3|BRDT_RAT	lcl|NW_026262668.1_cds_XP_052091166.1_17988	46.040	404	172	7	22	379	193	1404	4.15e-99	338
sp|D4AE59|STK11_RAT	lcl|NW_026262581.1_cds_XP_052100635.1_4785	65.506	316	109	0	25	340	121	1068	1.40e-141	412
sp|E1BE10|PLD6_BOVIN	lcl|NW_026262723.1_cds_XP_052069010.1_42800	45.029	171	91	2	40	209	130	636	4.53e-35	124
sp|E1BH29|ALKB5_BOVIN	lcl|NW_026262723.1_cds_XP_052069785.1_42396	68.122	229	73	0	72	300	136	822	1.45e-115	341
sp|E1BHJ4|CP26B_BOVIN	lcl|NW_026262679.1_cds_XP_052101009.1_24569	39.104	491	287	6	1	490	82	1521	2.09e-116	353
sp|E1BPX4|MCM8_BOVIN	lcl|NW_026262712.1_cds_XP_052064277.1_39052	63.696	763	259	5	66	815	229	2502	0.0	947
sp|E2RD63|PLD6_CANLF	lcl|NW_026262723.1_cds_XP_052069010.1_42800	41.477	176	92	2	45	217	133	636	2.51e-31	116
sp|E2RSS3|WEE2_CANLF	lcl|NW_026262626.1_cds_XP_052086961.1_12313	42.259	549	270	15	30	561	163	1719	1.44e-120	369
sp|E7F1H9|YTHD2_DANRE	lcl|NW_026262615.1_cds_XP_052086373.1_11864	73.295	176	47	0	398	573	922	1449	4.06e-92	294
sp|E7FE13|LGR4_DANRE	lcl|NW_026262712.1_cds_XP_052065333.1_37690	34.128	671	355	10	32	619	94	2094	3.37e-106	360
sp|E9PSL7|CTRO_RAT	lcl|NW_026262668.1_cds_XP_052093573.1_16798	32.261	964	579	15	1017	1927	3715	6543	1.56e-147	510
sp|E9Q3T6|PRD14_MOUSE	lcl|NW_026262581.1_cds_XP_052093172.1_3591	59.949	392	136	5	185	558	121	1287	1.42e-158	461
sp|E9Q414|APOB_MOUSE	lcl|NW_026262581.1_cds_XP_052061384.1_1344	23.684	912	612	26	52	936	139	2703	1.26e-47	192
sp|E9Q5K9|YTDC1_MOUSE	lcl|NW_026262581.1_cds_XP_052100822.1_4821	66.061	165	56	0	347	511	943	1437	1.38e-70	245
sp|E9Q5M6|CFA44_MOUSE	lcl|NW_026262701.1_cds_XP_052060231.1_35710	51.291	581	277	4	93	670	841	2574	0.0	625
sp|E9Q7R9|CFA43_MOUSE	lcl|NW_026262679.1_cds_XP_052100389.1_23697	32.936	1761	1039	26	39	1680	31	5244	0.0	851
sp|E9Q8T7|DYH1_MOUSE	lcl|NW_026262626.1_cds_XP_052086993.1_12347	64.119	4200	1478	12	68	4250	94	12657	0.0	5516
sp|E9Q956|MCMD2_MOUSE	lcl|NW_026262745.1_cds_XP_052078672.1_49146	31.206	423	240	12	205	606	4	1182	2.78e-52	187
sp|E9Q9F7|CC146_MOUSE	lcl|NW_026262581.1_cds_XP_052072061.1_3208	40.799	951	555	2	35	977	19	2871	0.0	640
sp|F1LVW7|DIAP3_RAT	lcl|NW_026262745.1_cds_XP_052077915.1_48394	46.652	463	238	4	609	1064	1774	3156	5.03e-104	356
sp|F1LYL9|SOX9_RAT	lcl|NW_026262723.1_cds_XP_052068536.1_42250	52.416	269	99	7	59	317	94	843	1.12e-67	224
sp|F1M5F3|MCM9_RAT	lcl|NW_026262712.1_cds_XP_052064164.1_39048	60.611	622	242	2	12	631	58	1920	0.0	820
sp|F1M5M3|TEX14_RAT	lcl|NW_026262723.1_cds_XP_052069670.1_42361	31.800	500	302	12	21	504	43	1473	2.07e-65	244
sp|F1MJR8|TEX14_BOVIN	lcl|NW_026262723.1_cds_XP_052069670.1_42361	32.600	500	314	11	13	503	16	1473	7.48e-72	265
sp|F1MLX5|LGR4_BOVIN	lcl|NW_026262712.1_cds_XP_052065333.1_37690	34.520	843	487	5	39	817	133	2658	4.54e-153	487
sp|F1N206|DLDH_BOVIN	lcl|NW_026262581.1_cds_XP_052062343.1_1453	75.262	477	116	2	33	509	88	1512	0.0	751
sp|F1N2W9|MCM9_BOVIN	lcl|NW_026262712.1_cds_XP_052064164.1_39048	60.932	622	239	3	12	630	58	1920	0.0	835
sp|F1QLR3|FXR1_DANRE	lcl|NW_026262690.1_cds_XP_052104584.1_27935	55.352	383	166	5	1	380	1	1143	1.24e-140	425
sp|F1R237|TDRD6_DANRE	lcl|NW_026262581.1_cds_XP_052058022.1_278	24.609	768	516	26	298	1045	6259	8433	2.47e-37	156
sp|F1R777|MTA70_DANRE	lcl|NW_026262701.1_cds_XP_052060571.1_35960	70.997	331	87	3	251	581	673	1638	0.0	527
sp|F1RRW5|ACE_PIG	lcl|NW_026262668.1_cds_XP_052094708.1_18501	50.535	1215	571	14	35	1237	1498	5088	0.0	1263
sp|F4IH25|BOP1_ARATH	lcl|NW_026262701.1_cds_XP_052060080.1_32626	45.820	622	317	7	146	751	355	2208	0.0	557
sp|F8VPQ2|ARI4A_MOUSE	lcl|NW_026262690.1_cds_XP_052106549.1_31142	41.787	414	213	7	3	410	4	1179	3.39e-75	276
sp|G3V7L5|PO4F2_RAT	lcl|NW_026262745.1_cds_XP_052077786.1_47839	69.196	224	56	5	195	410	286	942	2.83e-93	284
sp|G3V7X8|CP26B_RAT	lcl|NW_026262679.1_cds_XP_052101009.1_24569	38.697	491	289	6	1	490	82	1521	1.83e-116	354
sp|G5E8Z2|TAF4B_MOUSE	lcl|NW_026262701.1_cds_XP_052060191.1_35655	51.923	260	112	4	598	850	1930	2691	4.63e-77	270
sp|G5EC24|PTP2_CAEEL	lcl|NW_026262593.1_cds_XP_052081607.1_7493	37.733	591	297	17	1	582	25	1611	1.03e-112	353
sp|G5EC86|MOE1_CAEEL	lcl|NW_026262690.1_cds_XP_052058843.1_31336	49.254	67	30	1	113	179	298	486	4.00e-15	77.4
sp|G5ECD6|CHS1_CAEEL	lcl|NW_026262679.1_cds_XP_052101070.1_24636	37.587	862	454	14	487	1300	148	2625	0.0	565
sp|G5ECH5|PP4R1_CAEEL	lcl|NW_026262701.1_cds_XP_052060667.1_33407	33.731	335	169	6	989	1319	1966	2823	4.66e-41	166
sp|G5ED39|SEP1_CAEEL	lcl|NW_026262668.1_cds_XP_052092539.1_17450	27.651	481	302	15	678	1139	4333	5694	5.03e-41	167
sp|G5EDE2|CBXH2_CAEEL	lcl|NW_026262668.1_cds_XP_052092697.1_15804	34.483	145	93	2	23	166	238	669	8.23e-17	76.3
sp|G5EEH9|NUP98_CAEEL	lcl|NW_026262659.1_cds_XP_052089699.1_14805	46.875	160	85	0	770	929	2221	2700	5.58e-41	167
sp|G5EEN4|GCK3_CAEEL	lcl|NW_026262668.1_cds_XP_052096017.1_20427	64.688	337	110	4	101	435	43	1032	9.76e-143	422
sp|G5EET5|CBXH1_CAEEL	lcl|NW_026262668.1_cds_XP_052092697.1_15804	38.356	146	73	3	41	171	238	669	3.13e-19	83.2
sp|G5EEV2|TRR1_CAEEL	lcl|NW_026262581.1_cds_XP_052089211.1_3098	24.729	2402	1487	61	1792	4064	5023	11652	5.24e-179	625
sp|G5EF60|STIM1_CAEEL	lcl|NW_026262745.1_cds_XP_052077024.1_48874	30.047	426	246	12	7	386	34	1293	1.10e-40	157
sp|G5EG38|CDC16_CAEEL	lcl|NW_026262690.1_cds_XP_052104974.1_28524	30.721	319	202	5	255	565	664	1587	1.02e-46	175
sp|G5EGQ6|TEN1_CAEEL	lcl|NW_026262745.1_cds_XP_052078178.1_46646	26.371	2499	1547	72	267	2660	1264	8196	0.0	720
sp|H1UBK1|MAP2_CAEEL	lcl|NW_026262667.1_cds_XP_052090272.1_15616	69.505	364	107	2	105	468	328	1407	0.0	544
sp|H2L056|UBXN3_CAEEL	lcl|NW_026262581.1_cds_XP_052092238.1_3528	29.155	343	228	7	273	612	1054	2046	9.31e-27	116
sp|H2L099|GCK1_CAEEL	lcl|NW_026262690.1_cds_XP_052107086.1_27219	75.180	278	68	1	28	305	67	897	4.23e-135	406
sp|M9MRD1|MS300_DROME	lcl|NW_026262690.1_cds_XP_052106354.1_30691	28.359	6065	4136	63	635	6591	154	18045	0.0	2555
sp|M9NEY8|TET_DROME	lcl|NW_026262723.1_cds_XP_052071952.1_40681	48.371	399	184	5	1590	1968	2896	4086	3.37e-111	397
sp|O00203|AP3B1_HUMAN	lcl|NW_026262679.1_cds_XP_052099305.1_22523	72.713	656	167	4	13	659	4	1962	0.0	944
sp|O00238|BMR1B_HUMAN	lcl|NW_026262723.1_cds_XP_052068713.1_42821	55.280	483	195	8	30	494	82	1521	0.0	528
sp|O00327|BMAL1_HUMAN	lcl|NW_026262712.1_cds_XP_052067374.1_38951	51.220	615	254	15	36	626	25	1803	0.0	580
sp|O00507|USP9Y_HUMAN	lcl|NW_026262690.1_cds_XP_052105582.1_29602	62.861	2531	879	25	1	2510	1	7473	0.0	3089
sp|O00571|DDX3X_HUMAN	lcl|NW_026262690.1_cds_XP_052104849.1_28293	74.090	467	106	3	124	577	667	2061	0.0	726
sp|O01346|EGH_DROME	lcl|NW_026262745.1_cds_XP_052077090.1_47776	49.074	432	216	2	21	451	79	1365	1.06e-150	437
sp|O01367|HOW_DROME	lcl|NW_026262626.1_cds_XP_052087742.1_12970	48.459	357	133	9	77	392	40	1080	1.93e-99	301
sp|O01382|DRICE_DROME	lcl|NW_026262723.1_cds_XP_052067946.1_41240	44.622	251	134	4	86	332	133	882	9.03e-68	215
sp|O01501|CCNE_CAEEL	lcl|NW_026262701.1_cds_XP_052061152.1_34361	32.319	263	167	5	232	493	358	1116	9.80e-42	156
sp|O01767|EGG4_CAEEL	lcl|NW_026262581.1_cds_XP_052106503.1_4595	29.310	290	170	10	407	679	3622	4437	6.21e-22	103
sp|O01798|SPE8_CAEEL	lcl|NW_026262700.1_cds_XP_052059540.1_32208	33.333	336	205	10	105	433	1441	2412	2.44e-49	183
sp|O01803|RB11A_CAEEL	lcl|NW_026262674.1_cds_XP_052097617.1_21790	80.841	214	36	2	1	209	1	642	3.69e-123	348
sp|O01836|GLH3_CAEEL	lcl|NW_026262581.1_cds_XP_052069001.1_2699	39.961	508	273	11	201	698	541	1998	5.54e-118	372
sp|O02002|CASP1_DROME	lcl|NW_026262723.1_cds_XP_052067946.1_41240	42.561	289	157	5	30	313	16	870	1.70e-72	227
sp|O02658|GLC7C_CAEEL	lcl|NW_026262690.1_cds_XP_052058749.1_30837	55.333	300	131	3	5	303	16	909	7.96e-120	348
sp|O08550|KMT2B_MOUSE	lcl|NW_026262701.1_cds_XP_052063462.1_34612	64.169	307	105	3	2409	2713	10051	10962	1.05e-118	425
sp|O08565|CXCR4_RAT	lcl|NW_026262723.1_cds_XP_052071852.1_39878	31.058	293	182	6	36	313	193	1056	1.77e-32	127
sp|O08629|TIF1B_RAT	lcl|NW_026262712.1_cds_XP_052066974.1_37687	31.111	270	171	5	119	374	238	1044	9.11e-31	131
sp|O08699|PGDH_RAT	lcl|NW_026262701.1_cds_XP_052063508.1_32747	39.841	251	141	3	6	253	13	744	2.17e-54	177
sp|O08725|GHSR_RAT	lcl|NW_026262637.1_cds_XP_052088848.1_14062	36.792	318	165	10	50	336	130	1068	2.60e-49	172
