qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A2APF3|CTCFL_MOUSE	lcl|NW_018408681.1_cds_XP_021371327.1_27715	51.652	333	154	3	244	571	1258	2250	1.31e-110	355
sp|A2ARI4|LGR4_MOUSE	lcl|NW_018408918.1_cds_XP_021338929.1_35912	33.174	835	504	6	37	819	151	2649	9.80e-128	419
sp|A2AU37|RD21L_MOUSE	lcl|NW_018480073.1_cds_XP_021343517.1_40031	58.696	184	67	2	1	175	1	552	1.52e-67	231
sp|A2AU72|ARMC3_MOUSE	lcl|NW_018406672.1_cds_XP_021356633.1_14456	42.094	917	441	9	15	881	43	2673	0.0	592
sp|A2CEI6|PIWL2_DANRE	lcl|NW_018408614.1_cds_XP_021370128.1_26640	45.939	825	422	10	238	1046	433	2883	0.0	790
sp|A2CG63|ARI4B_MOUSE	lcl|NW_018408895.1_cds_XP_021378483.1_34142	45.274	402	194	7	3	398	4	1149	2.90e-87	314
sp|A2RUB1|MEIOC_HUMAN	lcl|NW_018408748.1_cds_XP_021372804.1_29032	55.914	186	78	2	725	909	2182	2730	1.31e-56	213
sp|A3KGV1|ODFP2_MOUSE	lcl|NW_018407597.1_cds_XP_021362358.1_19667	38.462	780	462	4	56	822	169	2493	3.04e-166	504
sp|A3KPW9|BAG6_DANRE	lcl|NW_018408147.1_cds_XP_021365918.1_22849	29.299	471	296	11	711	1156	1144	2520	1.75e-51	197
sp|A3KQH2|DRC9_DANRE	lcl|NW_018408834.1_cds_XP_021375546.1_31496	36.901	355	187	4	7	324	22	1086	1.09e-62	205
sp|A4D1T9|PRS37_HUMAN	lcl|NW_018480035.1_cds_XP_021341847.1_38547	25.322	233	126	9	40	231	1096	1773	4.35e-14	72.0
sp|A4IH17|BAG6_XENTR	lcl|NW_018408147.1_cds_XP_021365918.1_22849	28.875	471	281	14	694	1125	1153	2520	1.35e-40	163
sp|A4PES0|WEE2_PIG	lcl|NW_018407955.1_cds_XP_021364615.1_21691	50.829	362	168	7	165	519	556	1632	1.50e-114	353
sp|A5D8V7|ODAD3_HUMAN	lcl|NW_018405639.1_cds_XP_021352022.1_10296	38.827	358	213	3	71	424	43	1110	1.84e-38	148
sp|A5D8W1|CFA69_HUMAN	lcl|NW_018403984.1_cds_XP_021367433.1_2369	46.841	918	472	7	21	930	64	2793	0.0	847
sp|A5D9M6|BAG6_PIG	lcl|NW_018408147.1_cds_XP_021365918.1_22849	30.073	409	226	9	762	1124	1336	2520	1.06e-28	125
sp|A6N7Y9|PIWL1_CHICK	lcl|NW_018408707.1_cds_XP_021371712.1_28076	51.331	789	369	10	88	867	286	2634	0.0	837
sp|A6NDE4|RBY1B_HUMAN	lcl|NW_018405235.1_cds_XP_021349836.1_8330	52.326	86	40	1	2	86	16	273	1.10e-22	102
sp|A6PVC2|TTLL8_HUMAN	lcl|NW_018480078.1_cds_XP_021344005.1_40426	52.991	351	157	5	262	607	1102	2145	1.64e-120	392
sp|A6QQL3|SEP14_BOVIN	lcl|NW_018404940.1_cds_XP_021348373.1_7009	63.158	361	129	1	23	383	52	1122	1.99e-157	452
sp|A7DTF0|MRG1_CAEEL	lcl|NW_018404492.1_cds_XP_021345984.1_4863	28.922	204	108	7	125	327	220	723	5.14e-20	88.6
sp|A7X5R6|BAG6_ORNAN	lcl|NW_018408147.1_cds_XP_021365918.1_22849	26.738	187	135	1	759	943	1306	1866	1.33e-12	73.2
sp|A7X8B7|PRGR_GORGO	lcl|NW_018408805.1_cds_XP_021374788.1_30812	31.379	290	195	3	564	853	280	1137	2.22e-40	156
sp|A8D8P8|SIWI_BOMMO	lcl|NW_018408707.1_cds_XP_021371712.1_28076	43.264	772	429	7	135	899	325	2634	0.0	676
sp|A8KBF3|PIWL2_XENTR	lcl|NW_018408614.1_cds_XP_021370128.1_26640	45.921	760	402	6	195	949	616	2883	0.0	738
sp|A8WVU9|ROCK_CAEBR	lcl|NW_018408888.1_cds_XP_021378101.1_33792	50.716	489	222	5	9	497	52	1461	2.74e-167	533
sp|A9Q751|PCDP1_MOUSE	lcl|NW_018408883.1_cds_XP_021377772.1_33501	38.118	829	452	18	24	806	67	2508	3.54e-156	480
sp|A9ZSZ2|AGO3_BOMMO	lcl|NW_018408614.1_cds_XP_021370128.1_26640	47.706	763	394	4	166	926	604	2883	0.0	756
sp|B0BLW3|LGR4_XENTR	lcl|NW_018408918.1_cds_XP_021338929.1_35912	34.672	822	484	8	44	814	166	2625	1.35e-129	424
sp|B0BN28|SKA1_RAT	lcl|NW_018480075.1_cds_XP_021343643.1_40178	28.102	274	171	3	2	252	7	819	6.11e-35	127
sp|B0LSW3|LIS1_FELCA	lcl|NW_018407478.1_cds_XP_021361426.1_18795	77.129	411	91	2	1	410	1	1227	0.0	685
sp|B1A8Z2|CIB1_SHEEP	lcl|NW_018480076.1_cds_XP_021343724.1_40265	51.309	191	88	3	1	191	1	558	2.67e-45	149
sp|B1ASB6|SPOC1_MOUSE	lcl|NW_018480020.1_cds_XP_021341502.1_38239	32.338	402	217	10	410	774	5065	6216	3.75e-39	160
sp|B1Q3J6|DNM1B_ORYSJ	lcl|NW_018403653.1_cds_XP_021355294.1_1314	34.483	928	466	20	704	1529	1794	4457	1.79e-156	516
sp|B2GV50|RFX2_RAT	lcl|NW_018403543.1_cds_XP_021351217.1_940	60.339	590	202	12	69	653	265	1953	0.0	644
sp|B2RR83|YTDC2_MOUSE	lcl|NW_018405170.1_cds_XP_021349616.1_8135	52.193	1391	616	16	52	1435	175	4221	0.0	1362
sp|B2RW38|CFA58_MOUSE	lcl|NW_018408801.1_cds_XP_021374593.1_30640	70.230	870	254	2	1	865	1	2610	0.0	1039
sp|B2RX14|TUT4_MOUSE	lcl|NW_018407245.1_cds_XP_021359557.1_17093	51.739	460	210	8	872	1326	2755	4113	1.36e-131	451
sp|B2RXZ1|PNDC1_MOUSE	lcl|NW_018405252.1_cds_XP_021349868.1_8360	32.907	547	334	13	1	527	4	1605	1.18e-88	283
sp|B2RYF7|WASH1_RAT	lcl|NW_018405659.1_cds_XP_021352202.1_10457	54.331	254	112	3	13	264	22	777	7.18e-72	236
sp|B3M185|RAS1_DROAN	lcl|NW_018404481.1_cds_XP_021345848.1_4742	83.537	164	26	1	1	163	1	492	4.87e-88	257
sp|B3M383|SPNE_DROAN	lcl|NW_018480038.1_cds_XP_021341941.1_38631	34.216	1359	775	35	96	1404	382	4251	0.0	680
sp|B3MEY6|LIS1_DROAN	lcl|NW_018407478.1_cds_XP_021361426.1_18795	71.883	409	115	0	3	411	1	1227	0.0	600
sp|B3MPN6|IRS1_DROAN	lcl|NW_018408812.1_cds_XP_021374895.1_30928	36.957	276	137	11	12	266	61	840	1.10e-33	141
sp|B3N946|IRS1_DROER	lcl|NW_018408812.1_cds_XP_021374895.1_30928	34.783	299	150	11	12	281	61	909	1.74e-38	157
sp|B3NPW0|LIS1_DROER	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.616	409	112	0	3	411	1	1227	0.0	605
sp|B3NZR4|RAS1_DROER	lcl|NW_018404481.1_cds_XP_021345848.1_4742	83.537	164	26	1	1	163	1	492	4.87e-88	257
sp|B3P3W1|SPNE_DROER	lcl|NW_018480038.1_cds_XP_021341941.1_38631	33.260	1368	800	31	101	1421	388	4293	0.0	655
sp|B3P7F8|HH_DROER	lcl|NW_018408351.1_cds_XP_021367266.1_24033	48.092	393	188	7	75	460	64	1215	4.33e-110	332
sp|B4GAJ1|LIS1_DROPE	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.616	409	112	0	3	411	1	1227	0.0	599
sp|B4GEU5|SPNE_DROPE	lcl|NW_018480038.1_cds_XP_021341941.1_38631	31.952	1424	827	41	45	1403	193	4233	0.0	642
sp|B4GFJ8|RAS1_DROPE	lcl|NW_018404481.1_cds_XP_021345848.1_4742	83.537	164	26	1	1	163	1	492	5.86e-88	256
sp|B4HFB7|HH_DROSE	lcl|NW_018408351.1_cds_XP_021367266.1_24033	47.342	395	196	6	71	460	52	1215	2.55e-109	330
sp|B4HKC7|RAS1_DROSE	lcl|NW_018404481.1_cds_XP_021345848.1_4742	83.537	164	26	1	1	163	1	492	4.87e-88	257
sp|B4HLH4|SPNE_DROSE	lcl|NW_018480038.1_cds_XP_021341941.1_38631	32.996	1385	782	31	102	1423	388	4293	0.0	656
sp|B4HSL3|LIS1_DROSE	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.616	409	112	0	3	411	1	1227	0.0	607
sp|B4HWI2|IRS1_DROSE	lcl|NW_018408812.1_cds_XP_021374895.1_30928	34.981	263	134	11	25	266	100	840	7.69e-38	155
sp|B4JWA1|LIS1_DROGR	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.861	409	111	0	3	411	1	1227	0.0	603
sp|B4K5R2|SPNE_DROMO	lcl|NW_018480038.1_cds_XP_021341941.1_38631	32.947	1381	787	30	102	1420	382	4293	0.0	654
sp|B4KT48|LIS1_DROMO	lcl|NW_018407478.1_cds_XP_021361426.1_18795	73.105	409	110	0	3	411	1	1227	0.0	628
sp|B4LQ21|LIS1_DROVI	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.616	409	112	0	3	411	1	1227	0.0	601
sp|B4LX81|SPNE_DROVI	lcl|NW_018480038.1_cds_XP_021341941.1_38631	34.752	1292	706	31	104	1342	388	4011	0.0	680
sp|B4LY29|RAS1_DROVI	lcl|NW_018404481.1_cds_XP_021345848.1_4742	83.537	164	26	1	1	163	1	492	2.39e-88	258
sp|B4NBB0|SPNE_DROWI	lcl|NW_018480038.1_cds_XP_021341941.1_38631	33.706	1341	774	35	44	1341	205	4011	0.0	667
sp|B4P6P9|LIS1_DROYA	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.616	409	112	0	3	411	1	1227	0.0	605
sp|B4PN49|HH_DROYA	lcl|NW_018408351.1_cds_XP_021367266.1_24033	48.082	391	191	6	75	460	64	1215	1.55e-112	338
sp|B4PRJ9|SPNE_DROYA	lcl|NW_018480038.1_cds_XP_021341941.1_38631	33.236	1375	795	34	101	1425	388	4293	0.0	642
sp|B4PUP5|RAS1_DROYA	lcl|NW_018404481.1_cds_XP_021345848.1_4742	83.537	164	26	1	1	163	1	492	4.87e-88	257
sp|B4QHG6|LIS1_DROSI	lcl|NW_018407478.1_cds_XP_021361426.1_18795	72.616	409	112	0	3	411	1	1227	0.0	607
sp|B4R1D8|HH_DROSI	lcl|NW_018408351.1_cds_XP_021367266.1_24033	51.087	276	133	2	75	350	52	873	2.55e-84	263
sp|B5DE31|YBOX1_DANRE	lcl|NW_018405306.1_cds_XP_021350095.1_8541	87.209	86	11	0	32	117	46	303	5.68e-45	155
sp|B7ZR30|STK10_XENLA	lcl|NW_018404814.1_cds_XP_021347724.1_6433	58.360	317	131	1	1	316	1	951	3.95e-134	430
sp|B8A4F4|TDRD9_DANRE	lcl|NW_018480038.1_cds_XP_021341941.1_38631	40.094	1282	680	23	89	1340	427	4098	0.0	864
sp|B9EKI3|TMF1_MOUSE	lcl|NW_018480066.1_cds_XP_021343087.1_39696	45.017	602	320	3	494	1086	2398	4197	2.31e-117	395
sp|C1L7Y4|ANX13_SCHJA	lcl|NW_018405386.1_cds_XP_021350507.1_8940	41.056	341	193	1	10	350	838	1836	2.97e-80	257
sp|C3VD30|ZAR1L_MOUSE	lcl|NW_018407245.1_cds_XP_021359589.1_17083	37.719	114	44	2	193	279	46	387	1.41e-17	78.2
sp|C4QH88|ANX22_SCHMA	lcl|NW_018405386.1_cds_XP_021350507.1_8940	40.118	339	195	1	20	358	844	1836	7.10e-75	243
sp|D0PV95|DDX3_CAEEL	lcl|NW_018479990.1_cds_XP_021341012.1_37814	60.480	458	170	5	170	623	679	2031	0.0	554
sp|D2HHP1|WEE2_AILME	lcl|NW_018407955.1_cds_XP_021364615.1_21691	49.751	402	176	10	170	559	571	1734	9.31e-106	330
sp|D2HXI8|GWL_AILME	lcl|NW_018404871.1_cds_XP_021348013.1_6691	57.991	219	86	3	31	245	34	684	4.35e-71	254
sp|D3YUJ3|CCYL1_MOUSE	lcl|NW_018406522.1_cds_XP_021356041.1_13913	67.754	276	77	4	67	332	136	957	4.92e-128	372
sp|D3YVL2|CFA70_MOUSE	lcl|NW_018408784.1_cds_XP_021373845.1_29950	45.265	1151	596	11	1	1141	1	3381	0.0	904
sp|D3Z3K2|CIP1_MOUSE	lcl|NW_018405184.1_cds_XP_021349652.1_8158	54.974	191	85	1	8	198	13	582	1.47e-73	226
sp|D3Z4R1|HFM1_MOUSE	lcl|NW_018404580.1_cds_XP_021346732.1_5539	51.469	987	446	11	259	1224	484	3408	0.0	1025
sp|D3ZD32|CHD5_RAT	lcl|NW_018407984.1_cds_XP_021364896.1_21907	65.757	1209	347	14	332	1527	1048	4512	0.0	1501
sp|D3ZKD3|ALKB5_RAT	lcl|NW_018404995.1_cds_XP_021348664.1_7333	65.532	235	77	1	60	294	118	810	2.19e-109	327
sp|D3ZQF4|FKBP6_RAT	lcl|NW_018406035.1_cds_XP_021353947.1_12037	32.895	304	189	2	21	316	244	1134	4.21e-53	182
sp|D3ZVK1|MCM8_RAT	lcl|NW_018404172.1_cds_XP_021379163.1_3444	63.158	779	275	4	52	829	250	2553	0.0	969
sp|D4A2Z8|DHX36_RAT	lcl|NW_018408252.1_cds_XP_021366519.1_23452	53.923	803	350	9	188	983	1009	3378	0.0	785
sp|D4A7T3|BRDT_RAT	lcl|NW_018405055.1_cds_XP_021349026.1_7585	63.333	120	44	0	20	139	178	537	2.55e-47	185
sp|D4AE59|STK11_RAT	lcl|NW_018407282.1_cds_XP_021359753.1_17267	65.517	348	106	2	6	340	22	1062	5.58e-152	438
sp|E1BE10|PLD6_BOVIN	lcl|NW_018405749.1_cds_XP_021352816.1_11011	39.766	171	100	2	40	209	124	630	4.92e-36	127
sp|E1BH29|ALKB5_BOVIN	lcl|NW_018404995.1_cds_XP_021348664.1_7333	66.376	229	77	0	68	296	133	819	1.08e-109	328
sp|E1BHJ4|CP26B_BOVIN	lcl|NW_018408896.1_cds_XP_021378645.1_34160	39.158	475	278	5	19	493	181	1572	1.20e-116	355
sp|E1BPX4|MCM8_BOVIN	lcl|NW_018404172.1_cds_XP_021379163.1_3444	62.730	762	266	4	66	815	286	2553	0.0	922
sp|E2RD63|PLD6_CANLF	lcl|NW_018405749.1_cds_XP_021352816.1_11011	38.506	174	100	2	45	217	127	630	1.75e-31	116
sp|E2RSS3|WEE2_CANLF	lcl|NW_018407955.1_cds_XP_021364615.1_21691	43.687	499	241	17	79	561	310	1734	4.62e-113	349
sp|E7F1H9|YTHD2_DANRE	lcl|NW_018406412.1_cds_XP_021355476.1_13431	74.719	178	45	0	396	573	961	1494	1.92e-93	298
sp|E7FE13|LGR4_DANRE	lcl|NW_018408918.1_cds_XP_021338929.1_35912	36.541	665	347	9	27	619	97	2082	1.91e-114	383
sp|E9PSL7|CTRO_RAT	lcl|NW_018408154.1_cds_XP_021365969.1_22864	38.684	760	409	12	1212	1927	4414	6654	3.73e-157	539
sp|E9Q3T6|PRD14_MOUSE	lcl|NW_018408548.1_cds_XP_021369255.1_25883	58.333	396	142	4	185	560	226	1404	3.03e-161	468
sp|E9Q414|APOB_MOUSE	lcl|NW_018406690.1_cds_XP_021356772.1_14575	24.911	843	544	26	52	866	139	2484	5.56e-53	209
sp|E9Q5K9|YTDC1_MOUSE	lcl|NW_018408645.1_cds_XP_021370726.1_27138	47.425	369	155	7	264	605	652	1722	1.96e-80	271
sp|E9Q5M6|CFA44_MOUSE	lcl|NW_018408729.1_cds_XP_021372220.1_28515	38.362	1087	641	11	735	1811	3820	7023	0.0	621
sp|E9Q7R9|CFA43_MOUSE	lcl|NW_018406415.1_cds_XP_021355562.1_13531	33.759	1724	1049	24	39	1680	31	5169	0.0	882
sp|E9Q8T7|DYH1_MOUSE	lcl|NW_018407394.1_cds_XP_021360698.1_18095	64.896	4199	1435	14	68	4250	88	12615	0.0	5553
sp|E9Q956|MCMD2_MOUSE	lcl|NW_018404188.1_cds_XP_021379671.1_3502	30.488	656	432	11	2	640	13	1959	1.36e-82	276
sp|E9Q9F7|CC146_MOUSE	lcl|NW_018408908.1_cds_XP_021379640.1_35186	44.350	938	508	3	47	977	85	2877	0.0	679
sp|F1LVW7|DIAP3_RAT	lcl|NW_018407731.1_cds_XP_021363039.1_20248	42.369	439	240	6	96	531	199	1485	8.61e-101	346
sp|F1LYL9|SOX9_RAT	lcl|NW_018405039.1_cds_XP_021348843.1_7434	53.543	254	111	3	67	320	154	894	1.97e-76	248
sp|F1M5F3|MCM9_RAT	lcl|NW_018480057.1_cds_XP_021342606.1_39239	60.159	630	248	2	4	631	28	1914	0.0	796
sp|F1M5M3|TEX14_RAT	lcl|NW_018408856.1_cds_XP_021376359.1_32239	31.992	497	302	10	21	504	58	1479	1.82e-68	254
sp|F1MJR8|TEX14_BOVIN	lcl|NW_018408856.1_cds_XP_021376359.1_32239	32.857	490	310	10	19	503	52	1479	4.34e-71	262
sp|F1MLX5|LGR4_BOVIN	lcl|NW_018408918.1_cds_XP_021338929.1_35912	33.892	835	495	10	37	817	151	2646	3.01e-138	447
sp|F1N206|DLDH_BOVIN	lcl|NW_018408653.1_cds_XP_021371000.1_27452	74.896	482	119	2	28	509	76	1515	0.0	750
sp|F1N2W9|MCM9_BOVIN	lcl|NW_018480057.1_cds_XP_021342606.1_39239	60.317	630	246	3	4	630	28	1914	0.0	813
sp|F1QLR3|FXR1_DANRE	lcl|NW_018407520.1_cds_XP_021361865.1_19184	53.535	396	180	4	1	394	1	1182	7.31e-144	434
sp|F1R237|TDRD6_DANRE	lcl|NW_018405326.1_cds_XP_021350186.1_8647	28.268	612	364	21	463	1047	4150	5841	5.26e-46	185
sp|F1R777|MTA70_DANRE	lcl|NW_018480064.1_cds_XP_021342997.1_39546	74.551	334	78	3	251	583	721	1704	0.0	546
sp|F1RRW5|ACE_PIG	lcl|NW_018407846.1_cds_XP_021364030.1_21116	52.251	1066	495	6	151	1215	1	3159	0.0	1175
sp|F4IH25|BOP1_ARATH	lcl|NW_018404662.1_cds_XP_021347022.1_5796	45.182	633	309	10	146	751	430	2295	0.0	547
sp|F4JP36|HAP2_ARATH	lcl|NW_018407384.1_cds_XP_021360434.1_17829	23.016	378	242	14	89	430	415	1509	5.26e-15	80.1
sp|F8VPQ2|ARI4A_MOUSE	lcl|NW_018408895.1_cds_XP_021378483.1_34142	42.373	413	211	7	3	410	4	1176	6.21e-78	284
sp|G3UZ78|ADGB_MOUSE	lcl|NW_018408879.1_cds_XP_021377436.1_33146	37.542	895	435	14	630	1418	2575	5205	1.64e-167	557
sp|G3V7L5|PO4F2_RAT	lcl|NW_018479942.1_cds_XP_021340548.1_37391	54.985	331	106	8	91	410	115	1011	6.28e-94	286
sp|G3V7X8|CP26B_RAT	lcl|NW_018408896.1_cds_XP_021378645.1_34160	38.316	475	282	5	19	493	181	1572	3.80e-114	348
sp|G5E8Z2|TAF4B_MOUSE	lcl|NW_018405747.1_cds_XP_021352756.1_10968	52.734	256	118	1	598	850	2290	3057	1.00e-76	270
sp|G5EC24|PTP2_CAEEL	lcl|NW_018407426.1_cds_XP_021361030.1_18443	38.103	580	290	19	11	582	19	1575	7.52e-109	342
sp|G5EC86|MOE1_CAEEL	lcl|NW_018405816.1_cds_XP_021353019.1_11201	52.239	67	28	1	113	179	427	615	9.73e-15	76.6
sp|G5ECD6|CHS1_CAEEL	lcl|NW_018408131.1_cds_XP_021365799.1_22748	37.698	886	495	16	343	1178	1045	3681	1.40e-178	572
sp|G5ECH5|PP4R1_CAEEL	lcl|NW_018404058.1_cds_XP_021372332.1_2825	32.110	327	165	8	997	1319	1999	2820	4.50e-39	160
sp|G5ED39|SEP1_CAEEL	lcl|NW_018408774.1_cds_XP_021373585.1_29728	27.928	444	284	16	712	1136	5896	7176	4.45e-35	147
sp|G5EDE2|CBXH2_CAEEL	lcl|NW_018480059.1_cds_XP_021342734.1_39312	35.570	149	94	2	19	166	259	702	3.65e-19	82.4
sp|G5EEH9|NUP98_CAEEL	lcl|NW_018405719.1_cds_XP_021352363.1_10623	41.875	160	93	0	770	929	2230	2709	1.49e-36	153
sp|G5EEN4|GCK3_CAEEL	lcl|NW_018405378.1_cds_XP_021350457.1_8892	64.095	337	112	4	101	435	31	1020	1.48e-142	424
sp|G5EEV2|TRR1_CAEEL	lcl|NW_018406436.1_cds_XP_021355690.1_13613	27.295	1667	1055	42	1793	3408	5116	9798	3.97e-153	540
sp|G5EF60|STIM1_CAEEL	lcl|NW_018404940.1_cds_XP_021348363.1_7004	30.028	363	205	8	60	387	223	1269	4.27e-41	158
sp|G5EG38|CDC16_CAEEL	lcl|NW_018408109.1_cds_XP_021365711.1_22640	31.761	318	201	5	255	565	667	1593	7.56e-47	176
sp|G5EGQ6|TEN1_CAEEL	lcl|NW_018406672.1_cds_XP_021356657.1_14481	27.195	2118	1311	64	273	2331	1336	7173	0.0	702
sp|H1UBK1|MAP2_CAEEL	lcl|NW_018480068.1_cds_XP_021343192.1_39785	71.703	364	99	2	105	468	340	1419	0.0	555
sp|H2L056|UBXN3_CAEEL	lcl|NW_018408877.1_cds_XP_021377246.1_33056	27.035	344	236	7	272	612	1012	2007	2.20e-26	115
sp|H2L099|GCK1_CAEEL	lcl|NW_018479990.1_cds_XP_021341039.1_37826	75.627	279	67	1	28	306	58	891	1.25e-133	406
sp|K7SGN7|ZAR2B_XENLA	lcl|NW_018407245.1_cds_XP_021359589.1_17083	35.965	114	46	1	206	292	46	387	6.11e-17	77.0
sp|M9MRD1|MS300_DROME	lcl|NW_018404696.1_cds_XP_021347345.1_6090	28.291	6062	4151	57	635	6591	166	18078	0.0	2590
sp|M9NEY8|TET_DROME	lcl|NW_018407102.1_cds_XP_021358786.1_16468	50.000	384	188	2	1587	1968	1666	2811	1.10e-114	402
sp|O00203|AP3B1_HUMAN	lcl|NW_018407191.1_cds_XP_021359268.1_16833	71.733	658	164	5	8	653	37	1980	0.0	931
sp|O00238|BMR1B_HUMAN	lcl|NW_018406268.1_cds_XP_021354771.1_12789	56.936	483	186	8	30	496	91	1521	0.0	545
sp|O00327|BMAL1_HUMAN	lcl|NW_018404123.1_cds_XP_021377316.1_3283	51.821	604	237	12	74	626	187	1989	0.0	576
sp|O00507|USP9Y_HUMAN	lcl|NW_018408767.1_cds_XP_021373329.1_29516	63.072	2513	865	23	62	2551	277	7695	0.0	3095
sp|O00571|DDX3X_HUMAN	lcl|NW_018479990.1_cds_XP_021341017.1_37815	77.193	456	102	2	124	577	553	1920	0.0	739
sp|O01346|EGH_DROME	lcl|NW_018408667.1_cds_XP_021371144.1_27543	50.220	454	215	3	2	450	16	1359	4.71e-164	471
sp|O01367|HOW_DROME	lcl|NW_018408879.1_cds_XP_021377356.1_33134	52.711	332	132	8	77	392	40	1008	1.46e-102	308
sp|O01382|DRICE_DROME	lcl|NW_018403506.1_cds_XP_021347655.1_639	43.137	255	139	5	82	331	163	924	2.08e-65	209
sp|O01501|CCNE_CAEEL	lcl|NW_018404308.1_cds_XP_021343894.1_4035	31.541	279	182	4	232	510	349	1158	2.03e-45	166
sp|O01767|EGG4_CAEEL	lcl|NW_018408732.1_cds_XP_021372258.1_28550	32.599	227	140	8	445	662	5035	5703	4.33e-21	100
sp|O01798|SPE8_CAEEL	lcl|NW_018408733.1_cds_XP_021372307.1_28572	34.043	329	198	11	114	435	1510	2460	2.80e-52	191
sp|O01803|RB11A_CAEEL	lcl|NW_018408884.1_cds_XP_021377807.1_33558	79.439	214	39	1	1	209	1	642	1.59e-122	346
sp|O01836|GLH3_CAEEL	lcl|NW_018408645.1_cds_XP_021370693.1_27207	42.406	507	256	11	203	695	730	2184	3.06e-127	397
sp|O02002|CASP1_DROME	lcl|NW_018408839.1_cds_XP_021375705.1_31639	43.191	257	135	4	69	316	145	909	1.43e-60	196
sp|O02658|GLC7C_CAEEL	lcl|NW_018404396.1_cds_XP_021345460.1_4395	55.333	300	131	3	5	303	40	933	4.32e-120	348
